id,longitude,latitude,name,
926,2.36829490265,48.8793538666,10110 - LOUIS BLANC (PROP 2),
927,2.36157835219,48.8236331114,13113 - CHOISY VISTULE,
928,2.41108351399,48.862124295,20104 - RUE LOUIS LUMIÃˆRE,
929,2.32765372234,48.8501215971,06107 - CHERCHE MIDI,
930,2.35243486322,48.8818014766,10107 - MAGENTA PARE,
931,2.36671187733,48.8751302457,10114 - HOPITAL SAINT LOUIS,
932,2.38072651906,48.8523788928,11101 - SQUARE NORDLING,
933,2.38656211938,48.8593958104,11110 - SQUARE ROQUETTE,
934,2.35429827592,48.8298718053,13106 - BOBILLOT MERY,
935,2.35838154261,48.8282533767,13122 - PARC DE CHOISY,
936,2.36976147504,48.8713098451,10113 - PARMENTIER LOUVEL-TESSIER,
937,2.36962217195,48.8664027932,11113 - REPUBLIQUE FERRY,
938,2.39023804686,48.8843969648,19020 - MANIN HAUTPOUL,
939,2.39576976708,48.8835046409,19105 - PORTE BRUNET,
940,2.38089216317,48.8388256605,12108 - PALAIS OMNISPORT,
941,2.38855279908,48.8339153867,12110 - BARON LE ROY TRUFFAUT,
942,2.29549730391,48.8373973126,15052 - CONVENTION,
943,2.38259857241,48.8751072845,19101 - SIMON BOLIVAR,
944,2.38710259872,48.8548659203,11111 - CHARONNE FROT,
945,2.2756596026,48.8378650445,15104 - HÃ”PITAL GEORGES POMPIDOU (PROP 2),
946,2.29780010899,48.852856628,15105 - SUFFREN FÃ‰DÃ‰RATION,
947,2.29536951994,48.8607647388,07023 - BOURDONNAIS TOUR EIFFEL,
948,2.29304397362,48.856449937,07025 - SUFFREN TOUR EIFFEL,
949,2.39713387818,48.8375243901,12111 - DECAEN CANNEBIERE,
950,2.32368107918,48.83510304,14103 - MAINE LIANCOURT,
951,2.34165216786,48.8351576578,14113 - ARAGO 2,
952,2.30231043014,48.8695206768,08105 - FRANCOIS 1ER LINCOLN,
953,2.337281947,48.8794298077,09020 - TOUDOUZE CLAUZEL,
954,2.32665555792,48.869803937,09034 - GODOT DE MAUROY,
955,2.28569390434,48.8516566695,15102 - SQUARE BELA BARTOK,
956,2.29457492992,48.8497548379,15106 - GRENELLE VIOLET (PROP3),
957,2.29873052509,48.8837194871,17047 - COURCELLES - DEMOURES,
958,2.28865941714,48.8843449126,17101 - ALEXANDRE CHARPENTIER,
959,2.39251758104,48.8751390462,19121 - BELLEVILLE PRE SAINT GERVAIS,
960,2.3365188609,48.8811643465,09019 - VICTOR MASSE,
961,2.37336061587,48.8552124018,11002 - ROQUETTE THIERE,
962,2.38474840153,48.871924939,20113 - PARC DE BELLEVILLE,
963,2.32286670715,48.8752049171,08008 - ROME SAINT LAZARE,
964,2.31974423875,48.88215166,08020 - METRO ROME,
965,2.32522393642,48.8747468261,08108 - L'ISLY,
966,2.4111599088,48.8679390795,20103 - LE VAU BERTEAUX,
967,2.40538575663,48.8694883453,20109 - SURMELIN HAXO,
968,2.32883076817,48.8978802269,17044 - PORTE DE SAINT OUEN,
969,2.3176949574,48.8960904799,17108 - BESSIERES,
970,2.34485786001,48.8780814745,09108 - ROCHECHOUART MAUBEUGE,
971,2.37610233815,48.8243932092,13118 - PATAY REGNAULT,
972,2.41040592311,48.8645962446,20115 - PORTE DE BAGNOLET,
973,2.35628251014,48.8209377712,13110 - MOULIN DE LA POINTE,
974,2.33831663625,48.8358407909,14112 - FAUBOURG SAINT JACQUES CASSINI,
975,2.33609756117,48.8307627948,14125 - DAREAU,
976,2.3847437993,48.8966488147,19009 - CITE DES SCIENCES,
977,2.35116445,48.8701451149,10105 - BONNE NOUVELLE PROP2,
978,2.39196890703,48.8845669401,19103 - MANIN CARRIERES,
979,2.37401809165,48.8988993879,19110 - MACDONALD DUCHESNE,
980,2.40843195369,48.8555830669,20118 - ORTEAUX MOURAUD,
981,2.32448286785,48.8410528985,14001 - EDGAR QUINET,
982,2.40231449717,48.8538699626,20116 - HAIES REUNION,
983,2.34867630529,48.8309330171,13101 - CROULEBARBE RECULETTES,
984,2.39207498678,48.8689020489,20121 - MENILMONTANT BOYER,
985,2.30755675166,48.8672932378,08030 - MONTAIGNE,
986,2.40895617937,48.8604090005,20122 - DAVOUT VITRUVE,
987,2.30628596208,48.8737548058,08103 - D'ARTOIS BERRY,
988,2.33707758187,48.8716557981,09023 - ITALIENS LAFFITE,
989,2.31821008609,48.8296018738,14025 - JACQUIER,
990,2.32246705161,48.8433175248,15118 - PLACE BIENVENUE,
991,2.30331595686,48.8735113396,08102 - LAMENAIS WASHINGTON,
992,2.39588643433,48.8541249492,11017 - ALEXANDRE DUMAS,
993,2.3902523361,48.8583876348,11021 - PHILIPPE AUGUSTE (20EME ARR.),
994,2.38285008787,48.8667399845,11029 - MENILMONTANT OBERKAMPF,
995,2.38496382705,48.8543365367,11112 - CHARONNES VALLES,
996,2.3972317293,48.8397262946,12037 - DAUMESNIL,
997,2.39482880901,48.8338136535,12112 - CHARENTON JARDINIER,
998,2.41547304952,48.8463125606,12115 - PORTE DE VINCENNES,
999,2.35326019648,48.818574451,13111 - CIMETIERE DE GENTILLY,
1000,2.36779947678,48.824809062,13114 - NATIONALE DUCHAMP (PROP 1),
1001,2.37212487474,48.8201342792,13116 - PLACE DU DOCTEUR YERSIN,
1002,2.36624526625,48.8203875121,13117 - STADE GEORGES CARPENTIER,
1003,2.32257643709,48.841717757,14101 - PLACE FERNAND MOURLOT,
1004,2.32076992936,48.8277238399,14110 - ABBE CARTON,
1005,2.29137324606,48.8513174688,15028 - DUPLEIX,
1006,2.27529911515,48.8433023265,15103 - SQUARE DES CÃ‰VENNES,
1007,2.38668141363,48.8988139259,19115 - PORTE DE LA VILLETTE,
1008,2.40585657714,48.8752489479,20110 - PORTE DES LILAS,
1009,2.40812836361,48.8726233238,20117 - SAINT FARGEAU MORTIER,
1010,2.34399179438,48.8192763777,14014 - STADE CHARLETY,
1011,2.31039840237,48.825376175,14106 - STADE DIDOT,
1012,2.3310886072,48.8244712906,14109 - TOMBE ISSOIRE REGNAULT,
1013,2.33597487397,48.8375574161,14111 - DENFERT-ROCHEREAU CASSINI,
1014,2.28101236502,48.8360252396,15110 - PLACE ROBERT GUILLEMARD,
1015,2.29559474529,48.834737022,15111 - SERRES,
1016,2.31635497008,48.838903724,15114 - PASTEUR COTENTIN,
1017,2.28346996559,48.8818532179,17104 - GENERAL KOENIG,
1018,2.31002514867,48.8881892502,17117 - PEREIRE SAUSSURE,
1019,2.36682761353,48.8869394695,18039 - EOLE,
1020,2.39682668139,48.8901366811,19112 - STADE LADOUMEGUE,
1021,2.33227977458,48.893962026,18028 - VAUVENARGUES,
1022,2.36420399094,48.8734142643,10111 - BOURSE DU TRAVAIL,
1023,2.39574979105,48.8778786266,19113 - PRE ST GERVAIS,
1024,2.34560618845,48.8713319617,09012 - ROUGEMONT,
1025,2.37844608705,48.8790452229,19114 - MANIN SECRETAN,
1026,2.37426143706,48.8769885095,19118 - BOLIVAR BURNOUF,
1027,2.4062864991,48.850218814,20006 - PYRÃ‰NÃ‰ES - PLAINE,
1028,2.39628264097,48.8671834543,20111 - L'ISLE ADAM PYRENÃ‰ES,
1029,2.37988567725,48.840111246,12025 - BERCY,
1030,2.31717410601,48.83319675,14104 - LOSSERAND BOYER-BARRET,
1031,2.37622905104,48.8481203838,12101 - CHARENTON PRAGUE,
1032,2.31139907914,48.8386331242,15112 - FALGUIÃˆRE LEBRUN,
